Judul,Tanggal,Jam Upload (WIB)
"HINA IQ78! JIRAN SEBUT SURABAYA KOTA BABU, NETIZEN INDO TAMPOL MULUT LANCANG MALAYSIA!",2026-04-14,20:30
"KLAIM TUMPUAN DUNIA! WARGA MALAYSIA NGAMUK BBM NAIK 212%, PRABOWO-PUTIN BERSATU, JIRAN TERPOJOK!",2026-04-14,18:30
"GEMPAR! MARKAS IDF JADI ABU, DESTROYER AS DITENGGELAMKAN IRAN, TRUMP STRESS BERAT KALAH PERANG!",2026-04-14,16:15
"KOCAK! SERING PAMER MINYAK MURAH, KINI WARGA MALAYSIA SHOCK HARGA ROTI CANAI GILA-GILAN!",2026-04-14,13:15
"KONDISI KRITIS! TRUMP DILARIKAN KE RS, TIM MEDIS AS AKUI TRUMP ALAMI GANGGUAN MENTAL!",2026-04-14,10:15
"KARMA! DULU HINA INDONESIA BABU, KINI RAKYAT MALAYSIA SENDIRI TERSIKSA & DIBUNGKAM",2026-04-14,7:15
"KACAU TOTAL! EKONOMI MALAYSIA AMBRUK, KINI TAK SANGGUP LAGI URUS MINYAK!",2026-04-13,20:15
"NGERI! MALAYSIA DIAMBANG BUBAR, KRISIS BERAS PARAH, ANWAR IBRAHIM MINTA BANTUAN KE INDONESIA!",2026-04-13,18:30
"JIRAN MEMANAS! DPR MALAYSIA RIBUT BESAR GARA-GARA BENDERA CHINA, MALU SAMA CINDO?",2026-04-13,16:15
"DUNIA KAGET! BELA IRAN, CHINA TEMBAK JET TEMPUR F-22 AS! TRUMP PANIK ANCAM XI JINPING!",2026-04-13,13:15
"AMERIKA BERDARAH! 10 RIBU TENTARA AS DIEKSEKUSI MATI IRAN, TRUMP DITENDANG DARI KURSI PRESIDEN!",2026-04-13,10:15
"KACAU! TRUMP DIKEROYOK 100 JUTA WARGA AS, IRAN & LEBANON RESMI RATAKAN ISRAEL!",2026-04-13,7:15
"MALAYSIA SYOK! WARGA JIRAN AKUI INDONESIA MURAH, TAK SEPERTI DI MALAYSIA APA-APA MAHAL!",2026-04-12,20:00
"IRAN NGAMUK! PANGKALAN AS RATA DENGAN TANAH, RIBUAN TENTARA AS DIBURU IRGC IRAN!",2026-04-12,18:30
"SALAH PILIH LAWAN! 500 RUDAL IRAN MELEDAK DIMANA-MANA! WARGA ZIONIS KETAKUTAN, NETANYAHU PENGECUT!",2026-04-12,16:15
"BARAT GEMPAR! MAYAT TENTARA AS MATI KONYOL, RATUSAN TANK ISRAEL MELEDAK, WARGA ZIONIS SEKARAT!",2026-04-12,13:15
DUNIA GEMETAR! IRAN KIRIM RIBUAN RUDAL NON STOP RATAKAN 1000 WARGA ZIONIS! TRUMP TAK SANGGUP LAGI!,2026-04-12,10:15
GEMPAR! TRUMP PANIK TARIK SEMUA KAPAL INDUK! TRUMP RESMI DILENGSERKAN!,2026-04-12,7:15
WARGA ASING MELONGO! HARGA BBM INDONESIA STABIL...,2026-04-11,20:15
ISRAEL TERKAPAR! IRAN LANJUT HUJANI RUDAL...,2026-04-11,18:30
TRAGIS! TRUMP DISERET KE SEL TAHANAN!...,2026-04-11,16:15
5 RIBU MAYAT AS TERGELETAK! 10 JUTA WARGA...,2026-04-11,13:15
DUNIA GEMPAR! IRAN UTUS MALAIKAT MAUT...,2026-04-11,10:15
TRUMP DIUSIR PAKSA! 10 JUTA RAKYAT AS NGAMUK...,2026-04-11,7:15
TRUMP RESMI DILENGSERKAN! SEMUA PASUKAN...,2026-04-10,20:15
TRUMP TAMPAR NETANYAHU! SATU DUNIA DUKUNG...,2026-04-10,18:30
PERANG MEMBARA! IRAN BALASKAN DENDAM...,2026-04-10,16:15
GEMPARKAN DUNIA! JURNALIS AS BONGKAR...,2026-04-10,13:15
ISRAEL TERJEPIT! SEMUA NEGARA HANCUR LEBURKAN...,2026-04-10,7:15
GEMPARKAN AS‼️ RIBUAN TENTARA TENGGELAM...,2026-04-09,20:00
GEMPARKAN AS‼️ RIBUAN TENTARA TENGGELAM DI LAUT DIHAJAR RUDAL IRAN...,2026-04-09,20:00
ISRAEL TAMAT! IRAN HANCURKAN JANTUNG TEL AVIV...,2026-04-09,18:30
QATAR GABUNG IRAN! MEDIA BARAT AKUI ISRAEL HANCUR TOTAL...,2026-04-09,16:15
BIKIN DUNIA MENANGIS! MEDIA ASING TAKJUB LIHAT ISAK TANGIS...,2026-04-09,13:15
GEMPAR! TRUMP RESMI DIBORGOL! WARGA AS PESTA PORA...,2026-04-09,10:15
PASUKAN ELIT IRAN PASANG BADAN UNTUK TNI!...,2026-04-09,7:15
PERSETAN AMERIKA! PRABOWO LAKUKAN AKSI GILA...,2026-04-08,20:15
TRUMP GEMETAR! IRAN TERLALU BRUTAL... (Shorts),2026-04-08,19:00
SENJATA MAKAN TUAN‼️ ISRAEL BANTAI KAUMNYA SENDIRI...,2026-04-08,18:30
TRUMP NYERAH‼️ AS BERLUTUT DAN TURUTI SEMUA KEMAUAN IRAN...,2026-04-08,16:15
TETANGGA IRI‼️ BBM MALAYSIA MEROKET GILA...,2026-04-08,13:15
AS-ISRAEL BANGKRUT TOTAL! TRUMP & NETANYAHU BERLUTUT...,2026-04-08,10:15
DUNIA GEMPAR! RUDAL IRAN BAKAR HABIS ZIONIS...,2026-04-08,7:15
RUSIA-BELARUS INCAR INDONESIA BANGUN PROYEK ANTARIKSA...,2026-04-07,20:15
KARM4 NYATA? PABRIK KIMIA MELEDAK! GAS BERACUN...,2026-04-07,18:30
CHAOS! RATUSAN TENTARA ISRAEL BUNDIR MASSAL! (Shorts),2026-04-07,17:01
TNI GAK SALAH APA-APA TERUS DISERANG! PRABOWO-SBY MURKA...,2026-04-07,16:15
MALAYSIA KEBAKARAN JENGGOT! KENA MENTAL GARA-GARA BBM...,2026-04-07,13:15
RIBUAN WARGA ZIONIS LENYAP‼️ SENATOR AS NGAMUK...,2026-04-07,10:15
