Judul,Tanggal,Jam Upload (WIB),judul_4kata_metrix,merge_key,Konten,Judul video,Waktu publikasi video,Durasi,Penayangan tak dilewati,Rata-rata durasi tonton,Persentase penayangan rata-rata (%),Tetap menonton (%),Penonton unik,Penayangan rata-rata per penonton,Penonton baru,Penonton yang kembali,Penonton biasa,Penonton reguler,Diviralkan,Poin hype,Subscriber yang diperoleh,Subscriber yang hilang,Suka,Tidak suka,Suka (vs. tidak suka) (%),Pembagian,Komentar ditambahkan,Pendapatan transaksi (IDR),Transaksi,Pendapatan per transaksi (IDR),YouTube Premium (IDR),Iklan Halaman Tonton (IDR),Estimasi pendapatan DoubleClick (IDR),Estimasi pendapatan AdSense (IDR),Pendapatan iklan YouTube (IDR),Tayangan iklan,CPM berbasis-pemutaran (IDR),CPM (IDR),Estimasi pemutaran yang dimonetisasi,RPM (IDR),Rubi,Klik produk,Tayangan produk,Total penjualan (IDR),Pesanan,Komisi yang disetujui (IDR),Komisi tertunda (IDR),Komisi yang dihapus (IDR),Penayangan YouTube Premium,Waktu tonton YouTube Premium (jam),Waktu tonton playlist (jam),Penayangan dari playlist,Tayangan per playlist dimulai,Jam streaming,Set pengingat,Pesan chat,Reaksi,Perubahan jumlah subscriber per postingan,Jumlah remix,Penayangan remix,Penayangan klip komunitas,Waktu tonton dari klip komunitas (jam),Jumlah klik pada kartu,Klik per kartu yang ditampilkan (%),Kartu ditampilkan,Jumlah klik pada teaser kartu,Teaser kartu ditampilkan,Klik teaser per teaser kartu yang ditampilkan (%),Klik pada elemen layar akhir,Klik per elemen layar akhir yang ditampilkan (%),Elemen layar akhir yang ditampilkan,Penayangan,Waktu tonton (jam),Subscriber,Estimasi pendapatan (IDR),Tayangan,Rasio klik-tayang dari tayangan (%),judul_4kata_datafix
TNI AL KEPUNG AMBALAT‼ MALAYSIA KETAR-KETIR...,2025-12-01,7.3,tni al kepung ambalat,2025-12-01|tni al kepung ambalat,V7Omu7-gz7A,TNI AL KEPUNG AMBALAT‼ MALAYSIA KETAR-KETIR LIHAT HANTU LAUT MUNCUL DI AMBALAT,2025-12-01,562.0,20521.0,0:04:01,42.92,,,,,,,,0.0,0.0,4.0,1.0,388.0,6.0,98.48,10.0,317.0,0.0,0.0,,1316.993,118259.305,0.0,118259.305,215016.64,22102.0,11495.142,9728.379,18705.0,5827.013,0.0,15.0,354.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0078,0.0383,1.0,,0.1892,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,76.0,2.72,2792.0,20521.0,1375.0056,3.0,119576.299,69103.0,25.61,tni al kepung ambalat
INDONESIA KALAHKAN ISRAEL & IRAN MILITER...,2025-12-01,15.3,indonesia kalahkan israel iran,2025-12-01|indonesia kalahkan israel iran,IkQiOF95eBw,"INDONESIA KALAHKAN ISRAEL & IRAN MILITER TERKUAT DI DUNIA 2025, MALAYSIA SYOK GIGIT JARI",2025-12-01,600.0,28828.0,0:04:06,41.13,,,,,,,,0.0,0.0,60.0,22.0,618.0,6.0,99.04,26.0,94.0,0.0,0.0,,769.762,129840.377,0.0,129840.377,236073.275,29989.0,8931.682,7871.996,26431.0,4530.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,6.281,259.0,3.0,1.5,0.1998,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,137.0,2.57,5333.0,28828.0,1976.2812,38.0,130610.138,131162.0,19.59,indonesia kalahkan israel iran
"PAPUA BARAT JADI REBUTAN ASING, PRABOWO...",2025-12-02,7.3,papua barat jadi rebutan,2025-12-02|papua barat jadi rebutan,PVxtuOGKmtg,"PAPUA BARAT JADI REBUTAN ASING, PRABOWO NGAMUK INDONESIA DI OBRAK ABRIK",2025-12-02,529.0,45156.0,0:03:33,40.31,,,,,,,,0.0,0.0,79.0,16.0,515.0,24.0,95.55,102.0,468.0,6922.031,1.0,6922.031,976.988,220184.44,0.0,220184.44,400334.956,48399.0,9140.067,8271.554,43800.0,5051.007,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,157.0,10.2868,,,,0.1801,11.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,322.0,2.09,15420.0,45156.0,2674.6076,63.0,228083.459,246899.0,16.3,papua barat jadi rebutan
SUDAN–ANGOLA–ETHIOPIA GABUNG INDONESIA...,2025-12-02,9.3,sudan angola ethiopia gabung,2025-12-02|sudan angola ethiopia gabung,NCyLbSRnbR0,"SUDAN–ANGOLA–ETHIOPIA GABUNG INDONESIA, MALAYSIA MAKIN PANIK BESAR",2025-12-02,600.0,7176.0,0:04:04,40.71,,,,,,,,0.0,0.0,13.0,2.0,74.0,2.0,97.37,4.0,17.0,0.0,0.0,,649.314,18505.831,0.0,18505.831,33679.423,4932.0,8045.729,6828.756,4186.0,2665.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,5.181,0.1665,1.0,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,70.0,3.22,2176.0,7176.0,486.8957,11.0,19155.145,31755.0,19.24,sudan angola ethiopia gabung
"MALAYSIA DIBUAT CEMAS, INDONESIA & AUSTRALIA...",2025-12-02,12.3,malaysia dibuat cemas indonesia,2025-12-02|malaysia dibuat cemas indonesia,ImM3mcbJsxY,"MALAYSIA DIBUAT CEMAS, INDONESIA & AUSTRALIA BERSATU LAWAN MALAYSIA",2025-12-02,600.0,9569.0,0:03:39,36.5,,,,,,,,0.0,0.0,5.0,3.0,176.0,9.0,95.14,3.0,38.0,0.0,0.0,,606.292,46114.089,0.0,46114.089,83843.987,9351.0,10067.722,8966.312,8328.0,4882.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,4.5174,0.0592,1.0,1.0,0.1943,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,44.0,3.13,1408.0,9569.0,582.151,2.0,46720.381,42115.0,19.04,malaysia dibuat cemas indonesia
"INDONESIA LOLOS JEBAKAN AS, MALAYSIA MALAH...",2025-12-02,15.3,indonesia lolos jebakan as,2025-12-02|indonesia lolos jebakan as,PVxtuOGKmtg,"INDONESIA LOLOS JEBAKAN AS, MALAYSIA MALAH TERPEROSOK MINTA DIBANTU",2025-12-02,600.0,26054.0,0:04:49,48.21,,,,,,,,0.0,0.0,15.0,1.0,464.0,13.0,97.27,25.0,109.0,0.0,0.0,,1948.139,129866.732,0.0,129866.732,236121.26,28243.0,10043.012,8360.346,23511.0,5059.293,0.0,7.0,324.0,0.0,0.0,0.0,0.0,0.0,170.0,15.1723,266.0,3.0,1.5,0.1999,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,310.0,2.65,11707.0,26054.0,2093.4346,14.0,131814.871,141972.0,15.87,indonesia lolos jebakan as
"MALAYSIA MAKIN CIUT NYALINYA, INDONESIA GANDENG...",2025-12-03,7.3,malaysia makin ciut nyalinya,2025-12-03|malaysia makin ciut nyalinya,CDhMUr3rYgM,"MALAYSIA MAKIN CIUT NYALINYA, INDONESIA GANDENG RUSIA JAGA AMBALAT",2025-12-03,562.0,17006.0,0:03:58,42.46,,,,,,,,0.0,0.0,18.0,5.0,307.0,6.0,98.08,6.0,82.0,0.0,0.0,,762.253,90553.247,0.0,90553.247,164642.265,19316.0,9739.264,8523.621,16905.0,5369.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,6.4679,,,,0.1895,17.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,175.0,3.02,5803.0,17006.0,1127.3634,13.0,91315.5,96926.0,15.18,malaysia makin ciut nyalinya
INDIA & JEPANG BANGUN POROS BARU DENGAN...,2025-12-03,10.3,india jepang bangun poros,2025-12-03|india jepang bangun poros,CDhMUr3rYgM,"INDIA & JEPANG BANGUN POROS BARU DENGAN INDONESIA, MALAYSIA AUTO TERPENTAL",2025-12-03,600.0,12225.0,0:04:01,40.2,,,,,,,,0.0,0.0,7.0,3.0,252.0,3.0,98.82,11.0,29.0,0.0,0.0,,780.338,61250.26,0.0,61250.26,111363.942,13158.0,9781.637,8463.592,11385.0,5074.079,0.0,9.0,161.0,0.0,0.0,0.0,0.0,0.0,81.0,5.9069,0.0063,1.0,1.0,0.1999,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,113.0,1.72,6584.0,12225.0,819.0211,4.0,62030.598,60819.0,17.75,india jepang bangun poros
"IRAN UNDANG INDONESIA, PRABOWO PENENTU...",2025-12-03,12.3,iran undang indonesia prabowo,2025-12-03|iran undang indonesia prabowo,CDhMUr3rYgM,"IRAN UNDANG INDONESIA, PRABOWO PENENTU PERDAMAIAN TIMUR TENGAH, MALAYSIA TAK PUNYA PENGARUH",2025-12-03,600.0,9700.0,0:04:18,43.08,,,,,,,,0.0,0.0,2.0,2.0,202.0,3.0,98.54,10.0,38.0,0.0,0.0,,367.657,50473.241,0.0,50473.241,91769.336,10833.0,10141.379,8471.276,9049.0,5241.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.2555,0.2074,2.0,,0.1999,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,95.0,2.9,3275.0,9700.0,696.4513,0.0,50840.898,46094.0,17.67,iran undang indonesia prabowo
INDONESIA KENDALIKAN SUPLAI EMAS DUNIA...,2025-12-03,15.3,indonesia kendalikan suplai emas,2025-12-03|indonesia kendalikan suplai emas,lAA0pwfcipg,"INDONESIA KENDALIKAN SUPLAI EMAS DUNIA, AMERIKA  & EROPA PANIK MALAYSIA MERADANG",2025-12-03,600.0,10995.0,0:03:44,37.37,,,,,,,,0.0,0.0,4.0,2.0,232.0,6.0,97.48,18.0,38.0,0.0,0.0,,659.277,55975.14,0.0,55975.14,101772.933,12021.0,9509.712,8466.262,10702.0,5150.923,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,70.0,4.8688,,,,0.2,8.0,1.0,337.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,33.0,1.17,2822.0,10995.0,684.7585,2.0,56634.417,53868.0,18.03,indonesia kendalikan suplai emas
"MALAYSIA KETAKUTAN, TNI DITERJUNKAN 750...",2025-12-03,20.3,malaysia ketakutan tni diterjunkan,2025-12-03|malaysia ketakutan tni diterjunkan,Sg1zDfZNkys,"MALAYSIA KETAKUTAN, TNI DITERJUNKAN 750 BATALYON DI PERBATASAN",2025-12-03,611.0,96402.0,0:04:28,44.01,,,,,,,,0.0,0.0,131.0,27.0,1305.0,23.0,98.27,39.0,497.0,0.0,1.0,0.0,4032.635,381067.007,0.0,381067.007,692849.257,92522.0,8881.316,7488.481,78012.0,4004.146,0.0,75.0,1352.0,16812.976,1.0,0.0,907.901,0.0,465.0,33.3015,0.7416,5.0,1.25,0.2028,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,680.0,1.55,43906.0,96402.0,7199.9701,104.0,386007.542,588860.0,14.4,malaysia ketakutan tni diterjunkan
